isbn13,title,authors,categories,description,published_year,average_rating,num_pages,ratings_count
,Poems,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Poems' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1998,0.0,205,0
,"Srashṭā Devakoṭā, drashṭā pariveśamā",Laxmi Prasad Devkota,Nepali Literature,On Nepali literature; articles.,1984,0.0,121,0
,Svargako ṭukaḍā,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Svargako ṭukaḍā' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",2004,0.0,51,0
9789993330042.0,Tipliṅgī,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Tipliṅgī' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",2001,0.0,41,0
9789993330042.0,Tiplingi,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Tiplingi' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",2000,0.0,41,0
,Tushāra varṇana,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Tushāra varṇana' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",2003,0.0,32,0
,Bapu,Laxmi Prasad Devkota,Nepali Literature,"Poems on Mahatma Gandhi, 1869-1948, nationalist leader from India.",1991,0.0,32,0
,Bhikhārīdekhi sandhyāsamma,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Bhikhārīdekhi sandhyāsamma' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1986,0.0,50,0
,Bhāvanā gāṅgeya,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Bhāvanā gāṅgeya' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1960,0.0,160,0
,Campā,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Campā' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1967,0.0,78,0
,Chān̐gāsan̐ga kurā,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Chān̐gāsan̐ga kurā' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1969,0.0,72,0
,Cillā pātaharū,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Cillā pātaharū' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1966,0.0,35,0
,Dāḍimako rūkhanera,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Dāḍimako rūkhanera' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1983,0.0,164,0
,Kaṭaka,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Kaṭaka' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1969,0.0,56,0
,"Lakshmī kavitā-saṅgraha, 2013-2016 / c Lakshmīprasāda Devakoṭā",Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Lakshmī kavitā-saṅgraha, 2013-2016 / c Lakshmīprasāda Devakoṭā' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1976,0.0,246,0
9789937216999.0,Mahākavikā bhūmikā,Laxmi Prasad Devkota,Nepali Literature,"Collection of forewords written by Laxmi Prasad Prasad, 1908-1959, chiefly on poetic works.",2009,0.0,122,0
9789937219174.0,Mahākavi Lakshmīprasāda Devakoṭakā khaṇḍakāvyaharu,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Mahākavi Lakshmīprasāda Devakoṭakā khaṇḍakāvyaharu' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",2009,0.0,260,0
9789937509145.0,Parī,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Parī' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",2009,0.0,43,0
9789937216999.0,Mahākavikā bhūmikā,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Mahākavikā bhūmikā' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",2009,0.0,122,0
9789937509176.0,Mahākavi Devakoṭākā nibandha,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Mahākavi Devakoṭākā nibandha' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",2009,0.0,98,0
9789386653277.0,Amaravati Poetic Prism - 2017,Suman Pokhrel; Laxmi Prasad Devkota; Ishwar Ballav; Haribhakta Katuwal,Nepali Literature,a multilingual anthology of world poetry,2017,0.0,0,0
,Devakoṭā śatābdi abhilekha,Laxmi Prasad Devkota; Ushā Śeracana; Keśava Suvedī; Śailenduprakāśa Nepāla,Nepali Literature,"Volume to commemorate birth centenary of Laxmi Prasad Devkota, 1908-1959, poet of Nepal; comprises contributed articles on his life and works and on Nepali literature.",2010,0.0,407,0
9789937321228.0,Shirishko Phool,Parijat,Nepali Literature,"A Nepali literary work titled 'Shirishko Phool' by Parijat, featuring the stories, culture and voice of Nepal.",2013,0.0,66,0
9781638864691.0,Blackrift Gate,Parijat Mukherjee,Nepali Literature,"A Nepali literary work titled 'Blackrift Gate' by Parijat Mukherjee, featuring the stories, culture and voice of Nepal.",2021,0.0,0,0
9798369374139.0,Revolutionizing Healthcare Treatment with Sensor Technology,Sima Das; Parijat Bhowmick; Kitmo,Nepali Literature,"A Nepali literary work titled 'Revolutionizing Healthcare Treatment with Sensor Technology' by Sima Das, featuring the stories, culture and voice of Nepal.",2024,0.0,0,0
9781732419704.0,Pregnancy Brain,Parijat Deshpande,Nepali Literature,"A Nepali literary work titled 'Pregnancy Brain' by Parijat Deshpande, featuring the stories, culture and voice of Nepal.",2018,0.0,0,0
9788199171206.0,I Am a Fleeting Moment in Time,Maya Parijat,Nepali Literature,"A Nepali literary work titled 'I Am a Fleeting Moment in Time' by Maya Parijat, featuring the stories, culture and voice of Nepal.",2025,0.0,412,0
9781668475621.0,Cognitive Cardiac Rehabilitation Using IoT and AI Tools,Parijat Bhowmick; Sima Das; Kaushik Mazumdar,Nepali Literature,"A Nepali literary work titled 'Cognitive Cardiac Rehabilitation Using IoT and AI Tools' by Parijat Bhowmick, featuring the stories, culture and voice of Nepal.",2023,0.0,0,0
9780367384173.0,Handbook of Aqueous Solubility Data,Samuel H. Yalkowsky; Yan He; Parijat Jain,Nepali Literature,"A Nepali literary work titled 'Handbook of Aqueous Solubility Data' by Samuel H. Yalkowsky, featuring the stories, culture and voice of Nepal.",2003,0.0,1620,0
9781935883371.0,Ghetto Girls 6,Parijat Desai; Anthony Whyte,Nepali Literature,"A Nepali literary work titled 'Ghetto Girls 6' by Parijat Desai, featuring the stories, culture and voice of Nepal.",2013,0.0,300,0
9798369345122.0,Bio-Inspired Swarm Robotics and Control,Parijat Bhowmick; Sima Das; Farshad Arvin,Nepali Literature,"A Nepali literary work titled 'Bio-Inspired Swarm Robotics and Control' by Parijat Bhowmick, featuring the stories, culture and voice of Nepal.",2024,0.0,261,0
9781634854078.0,Succeeding in Mrcog,Sharmistha Guha; Parijat Bhattacharjee; Nutan Mishra; Francis Ayim,Nepali Literature,"A Nepali literary work titled 'Succeeding in Mrcog' by Sharmistha Guha, featuring the stories, culture and voice of Nepal.",2016,0.0,130,0
9789819625475.0,Leveraging Emerging Technologies and Analytics for Empowering Humanity,D. P. Goyal; Suprateek Sarker; Somnath Mukhopadhyay; Basav Roychoudhury; Parijat Upadhyay,Nepali Literature,"A Nepali literary work titled 'Leveraging Emerging Technologies and Analytics for Empowering Humanity' by D. P. Goyal, featuring the stories, culture and voice of Nepal.",2025,0.0,400,0
9788173030482.0,Sumnina,B.P. Koirala,Nepali Literature,"A Nepali literary work titled 'Sumnina' by B.P. Koirala, featuring the stories, culture and voice of Nepal.",2002,0.0,114,0
9788173030550.0,Faulty Glasses and Other Stories,B.P. Koirala,Nepali Literature,"A Nepali literary work titled 'Faulty Glasses and Other Stories' by B.P. Koirala, featuring the stories, culture and voice of Nepal.",2002,0.0,69,0
9789993313083.0,Atmabrittanta,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Atmabrittanta' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",2001,0.0,304,0
,Sumnima,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Sumnima' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",2005,0.0,115,0
,Tīna ghumtī,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Tīna ghumtī' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1969,0.0,99,0
,Sumnimā,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Sumnimā' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1970,0.0,125,0
9789937896016.0,Aafno Katha,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Aafno Katha' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",2015,0.0,0,0
,Bī. Pī. Koirālākā chariekā sāmagrī,Bishweshwar Prasad Koirala,Nepali Literature,"Comprises transcript of interviews, poems, short stories, essays and correspondences of a Nepali author and former prime minister of Nepal.",2001,0.0,398,0
,Cunautīko gherām̄a rājatantra,Bishweshwar Prasad Koirala,Nepali Literature,Current political conditions in Nepal and the role of monarchy.,2005,0.0,75,0
,Doshī casmā,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Doshī casmā' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1986,0.0,138,0
9788173030567.0,The faulty glasses and other stories,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'The faulty glasses and other stories' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1997,0.0,69,0
,Ājako rāshtṛiya cintana,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Ājako rāshtṛiya cintana' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1980,0.0,36,0
,Jela-jarnala,Bishweshwar Prasad Koirala,Nepali Literature,"Jail dairy of Bishweshwar Prasad Koirala, Nepalese statesman and former prime minister of Nepal, February 1961 to December 1964.",1997,0.0,266,0
,Modiāina,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Modiāina' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1980,0.0,52,0
,Narendradāi,Bishweshwar Prasad Koirala,Nepali Literature,"A Nepali literary work titled 'Narendradāi' by Bishweshwar Prasad Koirala, featuring the stories, culture and voice of Nepal.",1970,0.0,100,0
,Nepālī Kān̐gresakā cāra daśaka,Bishweshwar Prasad Koirala,Nepali Literature,History and principle policies of Nepali Congress Party during last four decades.,1996,0.0,0,0
